"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp","NA18","NA19"
"597",1608,"PPW1312","PPW1312",NA,"PPW1312","UMBCAL","UMBCAL",NA,"UMBCAL",1,1,0,1
"707",1719,"PPW1313","PPW1313",NA,"PPW1313","ARBMEN","ARBMEN",NA,"ARBMEN",1,1,0,1
"732",1744,"PPW1313","PPW1313",NA,"PPW1313","HETARB","HETARB",NA,"HETARB",1,1,0,1
"891",1903,"PPW1314","PPW1314",NA,"PPW1314","ARCMAN","ARCMAN",NA,"ARCMAN",1,1,0,1
"898",1910,"PPW1314","PPW1314",NA,"PPW1314","ARCMAN","ARCMAN",NA,"ARCMAN",1,1,0,1
"931",1944,"PPW1345","PPW1345",NA,"PPW1345","ARCMAN","ARCMAN",NA,"ARCMAN",1,1,0,1
"946",1959,"PPW1314","PPW1314",NA,"PPW1314","ARCMAN","ARCMAN",NA,"ARCMAN",1,1,0,1
"950",1963,"PPW1323","PPW1323",NA,"PPW1323","QUEdec","QUEdec",NA,"QUEdec",1,1,0,1
"1395",2409,"PPW1321","PPW1321",NA,"PPW1321","UMBCAL","UMBCAL",NA,"UMBCAL",1,1,0,1
"1400",2414,"PPW1321","PPW1321",NA,"PPW1321","UMBCAL","UMBCAL",NA,"UMBCAL",1,1,0,1
"2042",3062,"PPW1348","PPW1348",NA,"PPW1348","HETARB","HETARB",NA,"HETARB",1,1,0,1
"2220",3242,"PPW1348","PPW1348",NA,"PPW1348","UMBCAL","UMBCAL",NA,"UMBCAL",1,1,0,1
"2238",3260,"PPW1348","PPW1348",NA,"PPW1348","PSEMEN","PSEMEN",NA,"PSEMEN",1,1,0,1
"2509",3533,"PPW1326","PPW1326",NA,"PPW1326","UMBCAL","UMBCAL",NA,"UMBCAL",1,1,0,1
"3060",4086,NA,"PPW1350",NA,"PPW1350",NA,"PSEMEN",NA,"PSEMEN",1,1,0,1
"3065",4091,"PPW1350","PPW1350",NA,"PPW1350","AMOCAL","AMOCAL",NA,"AMOCAL",1,1,0,1
"3070",4096,"PPW1350","PPW1350",NA,"PPW1350","HETARB","HETARB",NA,"HETARB",1,1,0,1
"4425",5812,NA,"PPW1307",NA,"PPW1307",NA,"QUEAGR",NA,"QUEAGR",1,1,0,1
"4541",5969,NA,"PPW1302",NA,"PPW1302",NA,"QUEAGR",NA,"QUEAGR",1,1,0,1
"4567",5996,NA,"PPW1302",NA,"PPW1302",NA,"QUEAGR",NA,"QUEAGR",1,1,0,1
"4570",5999,NA,"PPW1302",NA,"PPW1302",NA,"QUEAGR",NA,"QUEAGR",1,1,0,1
